Unnamed: 0	wordpos_mod	word_mod	sentid	punctuation	model	prob	surp	wordpos	pairid	condition	comparison	sentence	ROI	freqs	adjusted_probs
353	7	 garden	43	False	distilbert/distilgpt2	0.0005164032336324	10.919214248657228	7	22	cover_meaning1_syn2	expected	The wall was built to cover the garden from the wind.	5	18433	[-0.12585981]
354	8	 from	43	False	distilbert/distilgpt2	0.0368289910256862	4.763014316558838	8	22	cover_meaning1_syn2	expected	The wall was built to cover the garden from the wind.	5	520124	[-0.1235188]
355	9	 the	43	False	distilbert/distilgpt2	0.4414437711238861	1.1796982288360596	9	22	cover_meaning1_syn2	expected	The wall was built to cover the garden from the wind.	5	6500900	[-0.12388708]
356	10	 wind.	43	False	distilbert/distilgpt2	0.1104975265916436	5.481133460998535	10	22	cover_meaning1_syn2	expected	The wall was built to cover the garden from the wind.	5	12350	[-0.01546679]
357	0	The	44	False	distilbert/distilgpt2	1.0	0.0	0	22	cover_meaning1_syn2	unexpected	The wall was built to shelter the garden from the wind.	5	6500900	[0.43466915]
358	1	 wall	44	False	distilbert/distilgpt2	5.638565312438004e-07	20.758169174194336	1	22	cover_meaning1_syn2	unexpected	The wall was built to shelter the garden from the wind.	5	18747	[-0.12639692]
359	2	 was	44	False	distilbert/distilgpt2	0.0364699214696884	4.777149200439453	2	22	cover_meaning1_syn2	unexpected	The wall was built to shelter the garden from the wind.	5	680189	[-0.13471653]
360	3	 built	44	False	distilbert/distilgpt2	0.0268508642911911	5.2188873291015625	3	22	cover_meaning1_syn2	unexpected	The wall was built to shelter the garden from the wind.	5	17722	[-0.09947721]
361	4	 to	44	False	distilbert/distilgpt2	0.1197591572999954	3.0617918968200684	4	22	cover_meaning1_syn2	unexpected	The wall was built to shelter the garden from the wind.	5	3042375	[-0.21138067]
362	5	 shelter	44	False	distilbert/distilgpt2	0.0006055748672224	10.689407348632812	5	22	cover_meaning1_syn2	unexpected	The wall was built to shelter the garden from the wind.	5	2957	[-0.1247227]
363	6	 the	44	False	distilbert/distilgpt2	0.256002813577652	1.9657684564590456	6	22	cover_meaning1_syn2	unexpected	The wall was built to shelter the garden from the wind.	5	6500900	[-0.30932804]
364	7	 garden	44	False	distilbert/distilgpt2	0.0002045307774096	12.255393981933594	7	22	cover_meaning1_syn2	unexpected	The wall was built to shelter the garden from the wind.	5	18433	[-0.12617169]
365	8	 from	44	False	distilbert/distilgpt2	0.2234682440757751	2.161858320236206	8	22	cover_meaning1_syn2	unexpected	The wall was built to shelter the garden from the wind.	5	520124	[0.06312046]
366	9	 the	44	False	distilbert/distilgpt2	0.338120549917221	1.5643903017044067	9	22	cover_meaning1_syn2	unexpected	The wall was built to shelter the garden from the wind.	5	6500900	[-0.2272103]
367	10	 wind.	44	False	distilbert/distilgpt2	0.1631921548396348	3.527518928050995	10	22	cover_meaning1_syn2	unexpected	The wall was built to shelter the garden from the wind.	5	12350	[0.03722784]
368	0	The	45	False	distilbert/distilgpt2	1.0	0.0	0	23	cover_meaning2_syn1	expected	The journalist was sent to cover the election results.	5	6500900	[0.43466915]
369	1	 journalist	45	False	distilbert/distilgpt2	6.159086183288309e-07	20.630779266357425	1	23	cover_meaning2_syn1	expected	The journalist was sent to cover the election results.	5	2769	[-0.12531493]
370	2	 was	45	False	distilbert/distilgpt2	0.0192044973373413	5.702411651611328	2	23	cover_meaning2_syn1	expected	The journalist was sent to cover the election results.	5	680189	[-0.15198195]
371	3	 sent	45	False	distilbert/distilgpt2	0.0055553480051457	7.491906642913818	3	23	cover_meaning2_syn1	expected	The journalist was sent to cover the election results.	5	13085	[-0.12045873]
372	4	 to	45	False	distilbert/distilgpt2	0.5065940618515015	0.9810978770256042	4	23	cover_meaning2_syn1	expected	The journalist was sent to cover the election results.	5	3042375	[0.17545423]
373	5	 cover	45	False	distilbert/distilgpt2	0.000368515116861	11.405988693237305	5	23	cover_meaning2_syn1	expected	The journalist was sent to cover the election results.	5	21936	[-0.1262449]
374	6	 the	45	False	distilbert/distilgpt2	0.2481038123369217	2.010983943939209	6	23	cover_meaning2_syn1	expected	The journalist was sent to cover the election results.	5	6500900	[-0.31722704]
375	7	 election	45	False	distilbert/distilgpt2	0.0039279647171497	7.992002010345459	7	23	cover_meaning2_syn1	expected	The journalist was sent to cover the election results.	5	9116	[-0.12181736]
376	8	 results.	45	False	distilbert/distilgpt2	0.0695787835866212	4.236507058143616	8	23	cover_meaning2_syn1	expected	The journalist was sent to cover the election results.	5	17468	[-0.05673209]
377	0	The	46	False	distilbert/distilgpt2	1.0	0.0	0	23	cover_meaning2_syn1	unexpected	The journalist was sent to report the election results.	5	6500900	[0.43466915]
378	1	 journalist	46	False	distilbert/distilgpt2	6.159086183288309e-07	20.630779266357425	1	23	cover_meaning2_syn1	unexpected	The journalist was sent to report the election results.	5	2769	[-0.12531493]
379	2	 was	46	False	distilbert/distilgpt2	0.0192044973373413	5.702411651611328	2	23	cover_meaning2_syn1	unexpected	The journalist was sent to report the election results.	5	680189	[-0.15198195]
380	3	 sent	46	False	distilbert/distilgpt2	0.0055553480051457	7.491906642913818	3	23	cover_meaning2_syn1	unexpected	The journalist was sent to report the election results.	5	13085	[-0.12045873]
381	4	 to	46	False	distilbert/distilgpt2	0.5065940618515015	0.9810978770256042	4	23	cover_meaning2_syn1	unexpected	The journalist was sent to report the election results.	5	3042375	[0.17545423]
382	5	 report	46	False	distilbert/distilgpt2	0.0003198455378878	11.610337257385254	5	23	cover_meaning2_syn1	unexpected	The journalist was sent to report the election results.	5	20845	[-0.1262197]
383	6	 the	46	False	distilbert/distilgpt2	0.123987078666687	3.0117380619049072	6	23	cover_meaning2_syn1	unexpected	The journalist was sent to report the election results.	5	6500900	[-0.44134377]
384	7	 election	46	False	distilbert/distilgpt2	0.0010133311152458	9.946678161621094	7	23	cover_meaning2_syn1	unexpected	The journalist was sent to report the election results.	5	9116	[-0.12473199]
385	8	 results.	46	False	distilbert/distilgpt2	0.1528447940945624	2.7106773853302	8	23	cover_meaning2_syn1	unexpected	The journalist was sent to report the election results.	5	17468	[0.02653392]
386	0	She	47	False	distilbert/distilgpt2	1.0	0.0	0	24	cover_meaning2_syn1	expected	She was asked to cover the conference for the magazine.	4	272348	[0.85643015]
387	1	 was	47	False	distilbert/distilgpt2	0.0009827060857787	9.990952491760254	1	24	cover_meaning2_syn1	expected	She was asked to cover the conference for the magazine.	4	680189	[-0.17020375]
388	2	 asked	47	False	distilbert/distilgpt2	0.0036094977986067	8.113986015319824	2	24	cover_meaning2_syn1	expected	She was asked to cover the conference for the magazine.	4	30375	[-0.12357536]
389	3	 to	47	False	distilbert/distilgpt2	0.3026762902736664	1.7241522073745728	3	24	cover_meaning2_syn1	expected	She was asked to cover the conference for the magazine.	4	3042375	[-0.02846354]
390	4	 cover	47	False	distilbert/distilgpt2	0.0012295023771002	9.667709350585938	4	24	cover_meaning2_syn1	expected	She was asked to cover the conference for the magazine.	4	21936	[-0.12538392]
391	5	 the	47	False	distilbert/distilgpt2	0.1737884283065796	2.5245959758758545	5	24	cover_meaning2_syn1	expected	She was asked to cover the conference for the magazine.	4	6500900	[-0.39154242]
392	6	 conference	47	False	distilbert/distilgpt2	0.0002886264410335	11.758508682250977	6	24	cover_meaning2_syn1	expected	She was asked to cover the conference for the magazine.	4	9339	[-0.1254718]
393	7	 for	47	False	distilbert/distilgpt2	0.0121660511940717	6.360994815826416	7	24	cover_meaning2_syn1	expected	She was asked to cover the conference for the magazine.	4	1097120	[-0.18725252]
394	8	 the	47	False	distilbert/distilgpt2	0.2136545330286026	2.2266480922698975	8	24	cover_meaning2_syn1	expected	She was asked to cover the conference for the magazine.	4	6500900	[-0.35167632]
395	9	 magazine.	47	False	distilbert/distilgpt2	0.0736925247183535	6.478662729263305	9	24	cover_meaning2_syn1	expected	She was asked to cover the conference for the magazine.	4	12531	[-0.05228404]
396	0	She	48	False	distilbert/distilgpt2	1.0	0.0	0	24	cover_meaning2_syn1	unexpected	She was asked to report the conference for the magazine.	4	272348	[0.85643015]
397	1	 was	48	False	distilbert/distilgpt2	0.0009827060857787	9.990952491760254	1	24	cover_meaning2_syn1	unexpected	She was asked to report the conference for the magazine.	4	680189	[-0.17020375]
398	2	 asked	48	False	distilbert/distilgpt2	0.0036094977986067	8.113986015319824	2	24	cover_meaning2_syn1	unexpected	She was asked to report the conference for the magazine.	4	30375	[-0.12357536]
399	3	 to	48	False	distilbert/distilgpt2	0.3026762902736664	1.7241522073745728	3	24	cover_meaning2_syn1	unexpected	She was asked to report the conference for the magazine.	4	3042375	[-0.02846354]
400	4	 report	48	False	distilbert/distilgpt2	0.0021999503951519	8.828312873840332	4	24	cover_meaning2_syn1	unexpected	She was asked to report the conference for the magazine.	4	20845	[-0.12433959]
401	5	 the	48	False	distilbert/distilgpt2	0.1899917125701904	2.395991325378418	5	24	cover_meaning2_syn1	unexpected	She was asked to report the conference for the magazine.	4	6500900	[-0.37533914]
402	6	 conference	48	False	distilbert/distilgpt2	4.0342809370486066e-05	14.597329139709473	6	24	cover_meaning2_syn1	unexpected	She was asked to report the conference for the magazine.	4	9339	[-0.12572008]
403	7	 for	48	False	distilbert/distilgpt2	0.0179680623114109	5.798421382904053	7	24	cover_meaning2_syn1	unexpected	She was asked to report the conference for the magazine.	4	1097120	[-0.18145051]
404	8	 the	48	False	distilbert/distilgpt2	0.2006552219390869	2.317209243774414	8	24	cover_meaning2_syn1	unexpected	She was asked to report the conference for the magazine.	4	6500900	[-0.36467563]
405	9	 magazine.	48	False	distilbert/distilgpt2	0.0625058659716159	8.21430516242981	9	24	cover_meaning2_syn1	unexpected	She was asked to report the conference for the magazine.	4	12531	[-0.0634707]
406	0	The	49	False	distilbert/distilgpt2	1.0	0.0	0	25	cover_meaning2_syn2	expected	The journalist was sent to cover the election results.	5	6500900	[0.43466915]
407	1	 journalist	49	False	distilbert/distilgpt2	6.159086183288309e-07	20.630779266357425	1	25	cover_meaning2_syn2	expected	The journalist was sent to cover the election results.	5	2769	[-0.12531493]
408	2	 was	49	False	distilbert/distilgpt2	0.0192044973373413	5.702411651611328	2	25	cover_meaning2_syn2	expected	The journalist was sent to cover the election results.	5	680189	[-0.15198195]
409	3	 sent	49	False	distilbert/distilgpt2	0.0055553480051457	7.491906642913818	3	25	cover_meaning2_syn2	expected	The journalist was sent to cover the election results.	5	13085	[-0.12045873]
410	4	 to	49	False	distilbert/distilgpt2	0.5065940618515015	0.9810978770256042	4	25	cover_meaning2_syn2	expected	The journalist was sent to cover the election results.	5	3042375	[0.17545423]
411	5	 cover	49	False	distilbert/distilgpt2	0.000368515116861	11.405988693237305	5	25	cover_meaning2_syn2	expected	The journalist was sent to cover the election results.	5	21936	[-0.1262449]
412	6	 the	49	False	distilbert/distilgpt2	0.2481038123369217	2.010983943939209	6	25	cover_meaning2_syn2	expected	The journalist was sent to cover the election results.	5	6500900	[-0.31722704]
413	7	 election	49	False	distilbert/distilgpt2	0.0039279647171497	7.992002010345459	7	25	cover_meaning2_syn2	expected	The journalist was sent to cover the election results.	5	9116	[-0.12181736]
414	8	 results.	49	False	distilbert/distilgpt2	0.0695787835866212	4.236507058143616	8	25	cover_meaning2_syn2	expected	The journalist was sent to cover the election results.	5	17468	[-0.05673209]
415	0	The	50	False	distilbert/distilgpt2	1.0	0.0	0	25	cover_meaning2_syn2	unexpected	The journalist was sent to detail the election results.	5	6500900	[0.43466915]
416	1	 journalist	50	False	distilbert/distilgpt2	6.159086183288309e-07	20.630779266357425	1	25	cover_meaning2_syn2	unexpected	The journalist was sent to detail the election results.	5	2769	[-0.12531493]
417	2	 was	50	False	distilbert/distilgpt2	0.0192044973373413	5.702411651611328	2	25	cover_meaning2_syn2	unexpected	The journalist was sent to detail the election results.	5	680189	[-0.15198195]
418	3	 sent	50	False	distilbert/distilgpt2	0.0055553480051457	7.491906642913818	3	25	cover_meaning2_syn2	unexpected	The journalist was sent to detail the election results.	5	13085	[-0.12045873]
419	4	 to	50	False	distilbert/distilgpt2	0.5065940618515015	0.9810978770256042	4	25	cover_meaning2_syn2	unexpected	The journalist was sent to detail the election results.	5	3042375	[0.17545423]
420	5	 detail	50	False	distilbert/distilgpt2	3.17332123813685e-05	14.943646430969238	5	25	cover_meaning2_syn2	unexpected	The journalist was sent to detail the election results.	5	5552	[-0.12547226]
421	6	 the	50	False	distilbert/distilgpt2	0.3173155784606933	1.656009554862976	6	25	cover_meaning2_syn2	unexpected	The journalist was sent to detail the election results.	5	6500900	[-0.24801527]
422	7	 election	50	False	distilbert/distilgpt2	0.0002148312341887	12.184508323669434	7	25	cover_meaning2_syn2	unexpected	The journalist was sent to detail the election results.	5	9116	[-0.12553049]
423	8	 results.	50	False	distilbert/distilgpt2	0.1481513455510139	2.892417073249817	8	25	cover_meaning2_syn2	unexpected	The journalist was sent to detail the election results.	5	17468	[0.02184047]
424	0	She	51	False	distilbert/distilgpt2	1.0	0.0	0	26	cover_meaning2_syn2	expected	She was asked to cover the conference for the magazine.	4	272348	[0.85643015]
425	1	 was	51	False	distilbert/distilgpt2	0.0009827060857787	9.990952491760254	1	26	cover_meaning2_syn2	expected	She was asked to cover the conference for the magazine.	4	680189	[-0.17020375]
426	2	 asked	51	False	distilbert/distilgpt2	0.0036094977986067	8.113986015319824	2	26	cover_meaning2_syn2	expected	She was asked to cover the conference for the magazine.	4	30375	[-0.12357536]
427	3	 to	51	False	distilbert/distilgpt2	0.3026762902736664	1.7241522073745728	3	26	cover_meaning2_syn2	expected	She was asked to cover the conference for the magazine.	4	3042375	[-0.02846354]
428	4	 cover	51	False	distilbert/distilgpt2	0.0012295023771002	9.667709350585938	4	26	cover_meaning2_syn2	expected	She was asked to cover the conference for the magazine.	4	21936	[-0.12538392]
429	5	 the	51	False	distilbert/distilgpt2	0.1737884283065796	2.5245959758758545	5	26	cover_meaning2_syn2	expected	She was asked to cover the conference for the magazine.	4	6500900	[-0.39154242]
430	6	 conference	51	False	distilbert/distilgpt2	0.0002886264410335	11.758508682250977	6	26	cover_meaning2_syn2	expected	She was asked to cover the conference for the magazine.	4	9339	[-0.1254718]
431	7	 for	51	False	distilbert/distilgpt2	0.0121660511940717	6.360994815826416	7	26	cover_meaning2_syn2	expected	She was asked to cover the conference for the magazine.	4	1097120	[-0.18725252]
432	8	 the	51	False	distilbert/distilgpt2	0.2136545330286026	2.2266480922698975	8	26	cover_meaning2_syn2	expected	She was asked to cover the conference for the magazine.	4	6500900	[-0.35167632]
433	9	 magazine.	51	False	distilbert/distilgpt2	0.0736925247183535	6.478662729263305	9	26	cover_meaning2_syn2	expected	She was asked to cover the conference for the magazine.	4	12531	[-0.05228404]
434	0	She	52	False	distilbert/distilgpt2	1.0	0.0	0	26	cover_meaning2_syn2	unexpected	She was asked to detail the conference for the magazine.	4	272348	[0.85643015]
435	1	 was	52	False	distilbert/distilgpt2	0.0009827060857787	9.990952491760254	1	26	cover_meaning2_syn2	unexpected	She was asked to detail the conference for the magazine.	4	680189	[-0.17020375]
436	2	 asked	52	False	distilbert/distilgpt2	0.0036094977986067	8.113986015319824	2	26	cover_meaning2_syn2	unexpected	She was asked to detail the conference for the magazine.	4	30375	[-0.12357536]
437	3	 to	52	False	distilbert/distilgpt2	0.3026762902736664	1.7241522073745728	3	26	cover_meaning2_syn2	unexpected	She was asked to detail the conference for the magazine.	4	3042375	[-0.02846354]
438	4	 detail	52	False	distilbert/distilgpt2	6.922635657247156e-05	13.818319320678713	4	26	cover_meaning2_syn2	unexpected	She was asked to detail the conference for the magazine.	4	5552	[-0.12543477]
439	5	 the	52	False	distilbert/distilgpt2	0.2504023909568786	1.997679591178894	5	26	cover_meaning2_syn2	unexpected	She was asked to detail the conference for the magazine.	4	6500900	[-0.31492846]
440	6	 conference	52	False	distilbert/distilgpt2	6.032314558979124e-05	14.016928672790527	6	26	cover_meaning2_syn2	unexpected	She was asked to detail the conference for the magazine.	4	9339	[-0.1257001]
441	7	 for	52	False	distilbert/distilgpt2	0.0117727238684892	6.408407688140869	7	26	cover_meaning2_syn2	unexpected	She was asked to detail the conference for the magazine.	4	1097120	[-0.18764585]
442	8	 the	52	False	distilbert/distilgpt2	0.2596118152141571	1.945572018623352	8	26	cover_meaning2_syn2	unexpected	She was asked to detail the conference for the magazine.	4	6500900	[-0.30571903]
443	9	 magazine.	52	False	distilbert/distilgpt2	0.0620343544069328	7.903575778007507	9	26	cover_meaning2_syn2	unexpected	She was asked to detail the conference for the magazine.	4	12531	[-0.06394221]
444	0	He	53	False	distilbert/distilgpt2	1.0	0.0	0	27	race_meaning1_syn1	expected	He trained for months to win the race.	7	622141	[0.83274422]
445	1	 trained	53	False	distilbert/distilgpt2	4.9825480630261154e-08	24.258541107177734	1	27	race_meaning1_syn1	expected	He trained for months to win the race.	7	4271	[-0.1254172]
446	2	 for	53	False	distilbert/distilgpt2	0.0772177577018737	3.6949234008789062	2	27	race_meaning1_syn1	expected	He trained for months to win the race.	7	1097120	[-0.12220081]
447	3	 months	53	False	distilbert/distilgpt2	0.0012992877746	9.58806324005127	3	27	race_meaning1_syn1	expected	He trained for months to win the race.	7	34135	[-0.12614018]
448	4	 to	53	False	distilbert/distilgpt2	0.0621396414935588	4.008342266082764	4	27	race_meaning1_syn1	expected	He trained for months to win the race.	7	3042375	[-0.26900019]
449	5	 win	53	False	distilbert/distilgpt2	0.0023284598719328	8.746408462524414	5	27	race_meaning1_syn1	expected	He trained for months to win the race.	7	15453	[-0.12384597]
450	6	 the	53	False	distilbert/distilgpt2	0.1954748183488845	2.354945182800293	6	27	race_meaning1_syn1	expected	He trained for months to win the race.	7	6500900	[-0.36985603]
451	7	 race.	53	False	distilbert/distilgpt2	0.0751167119597084	5.950864553451539	7	27	race_meaning1_syn1	expected	He trained for months to win the race.	7	13451	[-0.05092215]
452	0	He	54	False	distilbert/distilgpt2	1.0	0.0	0	27	race_meaning1_syn1	unexpected	He trained for months to win the contest	7	622141	[0.83274422]
453	1	 trained	54	False	distilbert/distilgpt2	4.9825480630261154e-08	24.258541107177734	1	27	race_meaning1_syn1	unexpected	He trained for months to win the contest	7	4271	[-0.1254172]
454	2	 for	54	False	distilbert/distilgpt2	0.0772177577018737	3.6949234008789062	2	27	race_meaning1_syn1	unexpected	He trained for months to win the contest	7	1097120	[-0.12220081]
455	3	 months	54	False	distilbert/distilgpt2	0.0012992877746	9.58806324005127	3	27	race_meaning1_syn1	unexpected	He trained for months to win the contest	7	34135	[-0.12614018]
456	4	 to	54	False	distilbert/distilgpt2	0.0621396414935588	4.008342266082764	4	27	race_meaning1_syn1	unexpected	He trained for months to win the contest	7	3042375	[-0.26900019]
457	5	 win	54	False	distilbert/distilgpt2	0.0023284598719328	8.746408462524414	5	27	race_meaning1_syn1	unexpected	He trained for months to win the contest	7	15453	[-0.12384597]
458	6	 the	54	False	distilbert/distilgpt2	0.1954748183488845	2.354945182800293	6	27	race_meaning1_syn1	unexpected	He trained for months to win the contest	7	6500900	[-0.36985603]
459	7	 contest	54	False	distilbert/distilgpt2	0.0004984142724424	10.970366477966309	7	27	race_meaning1_syn1	unexpected	He trained for months to win the contest	7	2556	[-0.12480271]
460	0	The	55	False	distilbert/distilgpt2	1.0	0.0	0	28	race_meaning1_syn1	expected	The runners lined up for the start of the race.	9	6500900	[0.43466915]
461	1	 runners	55	False	distilbert/distilgpt2	1.2105357427572017e-07	22.97784996032715	1	28	race_meaning1_syn1	expected	The runners lined up for the start of the race.	9	910	[-0.12518954]
462	2	 lined	55	False	distilbert/distilgpt2	0.0002107614272972	12.212100982666016	2	28	race_meaning1_syn1	expected	The runners lined up for the start of the race.	9	2237	[-0.12506876]
463	3	 up	55	False	distilbert/distilgpt2	0.8694691061973572	0.2017932385206222	3	28	race_meaning1_syn1	expected	The runners lined up for the start of the race.	9	263725	[0.72648315]
464	4	 for	55	False	distilbert/distilgpt2	0.0892787426710128	3.485539436340332	4	28	race_meaning1_syn1	expected	The runners lined up for the start of the race.	9	1097120	[-0.11013983]
465	5	 the	55	False	distilbert/distilgpt2	0.4183879196643829	1.2570867538452148	5	28	race_meaning1_syn1	expected	The runners lined up for the start of the race.	9	6500900	[-0.14694293]
466	6	 start	55	False	distilbert/distilgpt2	0.0170997753739357	5.869878768920898	6	28	race_meaning1_syn1	expected	The runners lined up for the start of the race.	9	34269	[-0.11034876]
467	7	 of	55	False	distilbert/distilgpt2	0.3556487560272217	1.4914748668670654	7	28	race_meaning1_syn1	expected	The runners lined up for the start of the race.	9	3139402	[0.01793883]
468	8	 the	55	False	distilbert/distilgpt2	0.7831958532333374	0.3525548279285431	8	28	race_meaning1_syn1	expected	The runners lined up for the start of the race.	9	6500900	[0.217865]
469	9	 race.	55	False	distilbert/distilgpt2	0.1694320365786552	2.5614824295043945	9	28	race_meaning1_syn1	expected	The runners lined up for the start of the race.	9	13451	[0.04339317]
470	0	The	56	False	distilbert/distilgpt2	1.0	0.0	0	28	race_meaning1_syn1	unexpected	The runners lined up for the start of the contest	9	6500900	[0.43466915]
471	1	 runners	56	False	distilbert/distilgpt2	1.2105357427572017e-07	22.97784996032715	1	28	race_meaning1_syn1	unexpected	The runners lined up for the start of the contest	9	910	[-0.12518954]
472	2	 lined	56	False	distilbert/distilgpt2	0.0002107614272972	12.212100982666016	2	28	race_meaning1_syn1	unexpected	The runners lined up for the start of the contest	9	2237	[-0.12506876]
473	3	 up	56	False	distilbert/distilgpt2	0.8694691061973572	0.2017932385206222	3	28	race_meaning1_syn1	unexpected	The runners lined up for the start of the contest	9	263725	[0.72648315]
474	4	 for	56	False	distilbert/distilgpt2	0.0892787426710128	3.485539436340332	4	28	race_meaning1_syn1	unexpected	The runners lined up for the start of the contest	9	1097120	[-0.11013983]
475	5	 the	56	False	distilbert/distilgpt2	0.4183879196643829	1.2570867538452148	5	28	race_meaning1_syn1	unexpected	The runners lined up for the start of the contest	9	6500900	[-0.14694293]
476	6	 start	56	False	distilbert/distilgpt2	0.0170997753739357	5.869878768920898	6	28	race_meaning1_syn1	unexpected	The runners lined up for the start of the contest	9	34269	[-0.11034876]
477	7	 of	56	False	distilbert/distilgpt2	0.3556487560272217	1.4914748668670654	7	28	race_meaning1_syn1	unexpected	The runners lined up for the start of the contest	9	3139402	[0.01793883]
478	8	 the	56	False	distilbert/distilgpt2	0.7831958532333374	0.3525548279285431	8	28	race_meaning1_syn1	unexpected	The runners lined up for the start of the contest	9	6500900	[0.217865]
479	9	 contest	56	False	distilbert/distilgpt2	0.0051458035595715	7.60238790512085	9	28	race_meaning1_syn1	unexpected	The runners lined up for the start of the contest	9	2556	[-0.12015532]
480	0	She	57	False	distilbert/distilgpt2	1.0	0.0	0	29	race_meaning1_syn1	expected	She finished the race just a second behind the winner.	3	272348	[0.85643015]
481	1	 finished	57	False	distilbert/distilgpt2	1.396486368321348e-06	19.449766159057617	1	29	race_meaning1_syn1	expected	She finished the race just a second behind the winner.	3	7498	[-0.12563437]
482	2	 the	57	False	distilbert/distilgpt2	0.1047045812010765	3.255603313446045	2	29	race_meaning1_syn1	expected	She finished the race just a second behind the winner.	3	6500900	[-0.46062627]
483	3	 race	57	False	distilbert/distilgpt2	0.0027432271745055	8.509909629821777	3	29	race_meaning1_syn1	expected	She finished the race just a second behind the winner.	3	13451	[-0.12329564]
484	4	 just	57	False	distilbert/distilgpt2	0.0040117143653333	7.9615654945373535	4	29	race_meaning1_syn1	expected	She finished the race just a second behind the winner.	3	181336	[-0.13339534]
485	5	 a	57	False	distilbert/distilgpt2	0.1098787933588028	3.1860151290893555	5	29	race_meaning1_syn1	expected	She finished the race just a second behind the winner.	3	2959949	[-0.21567963]
486	6	 second	57	False	distilbert/distilgpt2	0.003753863973543	8.05740737915039	6	29	race_meaning1_syn1	expected	She finished the race just a second behind the winner.	3	37265	[-0.12389755]
487	7	 behind	57	False	distilbert/distilgpt2	0.0592593923211097	4.076812267303467	7	29	race_meaning1_syn1	expected	She finished the race just a second behind the winner.	3	27439	[-0.06772666]
488	8	 the	57	False	distilbert/distilgpt2	0.1622072160243988	2.6240899562835693	8	29	race_meaning1_syn1	expected	She finished the race just a second behind the winner.	3	6500900	[-0.40312363]
489	9	 winner.	57	False	distilbert/distilgpt2	0.2010761513374745	4.089710175991058	9	29	race_meaning1_syn1	expected	She finished the race just a second behind the winner.	3	4561	[0.07563926]
490	0	She	58	False	distilbert/distilgpt2	1.0	0.0	0	29	race_meaning1_syn1	unexpected	She finished the contest just a second behind the winner.	3	272348	[0.85643015]
491	1	 finished	58	False	distilbert/distilgpt2	1.396486368321348e-06	19.449766159057617	1	29	race_meaning1_syn1	unexpected	She finished the contest just a second behind the winner.	3	7498	[-0.12563437]
492	2	 the	58	False	distilbert/distilgpt2	0.1047045812010765	3.255603313446045	2	29	race_meaning1_syn1	unexpected	She finished the contest just a second behind the winner.	3	6500900	[-0.46062627]
493	3	 contest	58	False	distilbert/distilgpt2	0.0007897375617176	10.306339263916016	3	29	race_meaning1_syn1	unexpected	She finished the contest just a second behind the winner.	3	2556	[-0.12451138]
494	4	 just	58	False	distilbert/distilgpt2	0.0024471450597047	8.674684524536133	4	29	race_meaning1_syn1	unexpected	She finished the contest just a second behind the winner.	3	181336	[-0.13495991]
495	5	 a	58	False	distilbert/distilgpt2	0.1522677540779113	2.715317487716675	5	29	race_meaning1_syn1	unexpected	She finished the contest just a second behind the winner.	3	2959949	[-0.17329067]
496	6	 second	58	False	distilbert/distilgpt2	0.0014511580811813	9.428579330444336	6	29	race_meaning1_syn1	unexpected	She finished the contest just a second behind the winner.	3	37265	[-0.12620025]
497	7	 behind	58	False	distilbert/distilgpt2	0.0169931557029485	5.878902435302734	7	29	race_meaning1_syn1	unexpected	She finished the contest just a second behind the winner.	3	27439	[-0.1099929]
498	8	 the	58	False	distilbert/distilgpt2	0.1390146315097808	2.846691131591797	8	29	race_meaning1_syn1	unexpected	She finished the contest just a second behind the winner.	3	6500900	[-0.42631622]
499	9	 winner.	58	False	distilbert/distilgpt2	0.2197513207793235	3.1956498622894287	9	29	race_meaning1_syn1	unexpected	She finished the contest just a second behind the winner.	3	4561	[0.09431443]
500	0	The	59	False	distilbert/distilgpt2	1.0	0.0	0	30	race_meaning1_syn1	expected	The annual charity race raised thousands of dollars.	3	6500900	[0.43466915]
501	1	 annual	59	False	distilbert/distilgpt2	3.562996653272421e-06	18.09847640991211	1	30	race_meaning1_syn1	expected	The annual charity race raised thousands of dollars.	3	11792	[-0.12592296]
502	2	 charity	59	False	distilbert/distilgpt2	0.0004175524809397	11.225754737854004	2	30	race_meaning1_syn1	expected	The annual charity race raised thousands of dollars.	3	2463	[-0.12487727]
503	3	 race	59	False	distilbert/distilgpt2	0.0014476865762844	9.432034492492676	3	30	race_meaning1_syn1	expected	The annual charity race raised thousands of dollars.	3	13451	[-0.12459118]
504	4	 raised	59	False	distilbert/distilgpt2	0.0002233388659078	12.128478050231934	4	30	race_meaning1_syn1	expected	The annual charity race raised thousands of dollars.	3	10677	[-0.12562769]
505	5	 thousands	59	False	distilbert/distilgpt2	0.0028957305476069	8.431857109069824	5	30	race_meaning1_syn1	expected	The annual charity race raised thousands of dollars.	3	13441	[-0.12314246]
506	6	 of	59	False	distilbert/distilgpt2	0.7163230776786804	0.4813175797462463	6	30	race_meaning1_syn1	expected	The annual charity race raised thousands of dollars.	3	3139402	[0.37861315]
507	7	 dollars.	59	False	distilbert/distilgpt2	0.4103127811104059	2.3650597780942917	7	30	race_meaning1_syn1	expected	The annual charity race raised thousands of dollars.	3	9794	[0.28452155]
508	0	The	60	False	distilbert/distilgpt2	1.0	0.0	0	30	race_meaning1_syn1	unexpected	The annual charity contest raised thousands of dollars.	3	6500900	[0.43466915]
